pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
41617212,?65 years,females used the website significantly more than males,breast cancer survivors,not specified,56 participants,28 dyads,0 dyads,,,"weight loss (approximately 0.5 kg/week), physical activity goals aligned with WCRF/AICR and ACS guidelines (at least 150 minutes of MVPA and strength training 2-3 times per week)",DUET web-based weight loss intervention,"Team Support section strategies (strengthen dyadic communication, foster mutual goal setting, enhance social support)","social cognitive theory, interdependence theory, theory of communal coping",waitlist,,moderate to vigorous physical activity (MVPA),,,,,,,,,,,,,,,,,,,
41591537,30-75 years,"137 males, 16 females",advanced squamous non-small cell lung cancer (sqNSCLC),"patients with previously untreated advanced sqNSCLC, ECOG PS score of 0 or 1, measurable lesion according to RECIST version 1.1, adequate organ function and bone marrow reserve",153 patients,51 (IBI110 200 mg group),51 (SOC group),"IBI110 200 mg or 600 mg, sintilimab, pemetrexed 500 mg/m2, carboplatin dosed to AUC of 5 using Calvert Formula, paclitaxel 175 mg/m2",,,,,platinum-based doublet chemotherapy,sintilimab plus platinum-based doublet chemotherapy,,"grade ?3 treatment-related adverse events; most frequent: anemia (64.05%), decreased white blood cell count (61.44%), decreased neutrophil count (56.86%), alopecia (33.99%), and decreased platelet count (25.49%); grade 3 or higher TRAEs: decreased neutrophil count (54.25%), decreased white blood cell count (27.45%), anemia (9.80%)",,"no significant differences in clinical characteristics; median PFS: 200 mg group - 8.38 months, 600 mg group - 7.82 months, SOC group - 7.16 months; clinically meaningful improvement in PFS for patients with LAG-3 ?2% in the 200 mg group compared to SOC group (P = 0.0485); no significant advantage in PFS observed for the 600 mg group compared with the standard-of-care (SOC) group (P = 0.8975); within the 200 mg group, patients with LAG-3 ?2% also exhibited significantly superior PFS than those with LAG-3 < 2% (P = 0.0195); 1-year PFS rate: LAG-3 ?2% subgroup - 78.8%, LAG-3 < 2% subgroup - 39.4%; no significant difference in PFS observed between patients stratified by the LAG-3 expression level and those in the SOC group; for a subgroup population meeting both the criteria of LAG-3 ?2% and PD-L1 ?1%, 1-year PFS rate was 85.7% in the 200 mg group and 40.0% in the SOC group","ORR: 200 mg group - 90.00%, SOC group - 81.25%, 600 mg group - 78.57%; specific subgroup of patients with LAG-3 expression ?2% and a PD-L1 TPS ?1% numerically higher ORRs were still observed in the 200 mg and 600 mg groups compared to the SOC group (100.00% vs. 100.00% vs. 90.00%); one patient in the 200 mg group exhibited an 83.39% reduction in the target lesion size",,,,,,,,,,,,,,,,
41589575,18-75 years,mixed,resected stage Ib-IIIa non-small-cell lung cancer (NSCLC) patients,"patients who underwent complete resection, had baseline randomization records and treatment information with survival follow-up data; excluded those lacking complete QoL assessment data in previous study but included those with complete treatment and survival data without QoL info in current analysis",334,165,169,"vinorelbine (25 mg/m2 on days 1 and 8), cisplatin (75 mg/m2 on day 1), carboplatin (area under the curve [AUC] = 5 on day 1)",,,,,TCM granules,matched placebo,"mDFS was not reached in patients who continued to receive STCM therapy; for those not receiving STCM therapy, the mDFS was 89.83 months; in the control group, the mDFS in non-STCM users was 18.63 months",,,"differences were observed in non-STCM users (P = .02) and were not significant in STCM users (P = .96); sex, pathological diagnosis, pathological stage, intervention (granules vs placebo), and subsequent treatment status were significant predictors of DFS",,,,,,,,,,,,,,,,,
41578585,27-93 years (mean: 47.5),Male: 1274, Female: 1085,upper gastrointestinal tract cancer,"patients diagnosed with upper digestive tract malignant tumors, histopathologically confirmed, without postoperative recurrence, non-early stage as confirmed by endoscopic ultrasound or pathology, and no tumor metastasis; included from 4 tertiary hospitals in China between July 2022 and July 2023",2359 cases of malignant tumors (396 at early stages),senior endoscopists who received standardized endoscopic diagnostic and treatment procedure training,senior endoscopists without such training,,standardized endoscopic diagnostic and treatment procedure,,endoscopy training,,standardized endoscopic imaging procedures,non-standardized endoscopic procedures,,,early detection rate of upper gastrointestinal tract cancers,,"12.17% in the control group, 21.36% in standardized procedure group (P < .001), 14.86% vs 7.93% for early-stage esophageal cancer (P = .019), 25.78% vs 15.23% for early-stage gastric cancer (P = .032)",,,,,,,,,,,,,,,
41575745,"mean (SD) age, 64.0 (6.5) years; 358 female [55.8%]","female [55.8%], unspecified male",English-speaking and Spanish-speaking patients who smoked and were scheduled for lung cancer surgery (LCS), mean (SD) 36.8 (19.4) pack-years, mean (SD) 16.2 (8.2) cigarettes per day,Eligible patients were randomized to receive screening for adverse SDH (social determinants of health) or not, no specific medical condition mentioned,642 participants,642,0,NRT,Lung Cancer Surgery (LCS),,"Smoking cessation counseling via videoconference or telephone using Motivational Interviewing, tailored messaging for quit readiness and personal barriers to cessation; 4-8 sessions total with varying durations",Counseling,SDH screening and service referral,usual care condition,self-reported 7-day smoking abstinence at 6 months,,,,"$404 810 (low-patient flow), $672 822 (base-case), $1 214 273 (high-patient flow), $1858 to $5573 (ICQs with incremental quit rate varying from 30% to 10%), $1060 to $3181 (ICQs excluding additional EHR programming costs), $2550 ($1725 no EHR programming costs) to $3985 ($2570 no EHR programming costs)",,,,,,,,,,,,,
41569457,35-73 years,not specified,adult Australian cancer survivors,not specified,52,11,10,,,,HLaC Online program,telephone coaching calls,,HLaC Online,,,positive,,acceptability,,,,,,,,,,,,,,,,
41569453,18-65 years,female,moderate unilateral lower extremity lymphedema affecting entire limb (from foot to thigh) due to endometrial or cervical cancer,"informed consent obtained; no edema limited only to distal part of limb; primary lymphedema, bilateral lymphedema, active infections, mental cognitive impairments, metastases, history of lower extremity orthopedic surgery, advanced osteoarthritis, joint deformity, other musculoskeletal conditions affecting proprioception or joint mobility, and conditions where manual lymphatic drainage is contraindicated (e.g., severe heart failure, thrombosis, uncontrolled hypertension)",72,36,36,moisturizing cream,lower extremity orthopedic surgery,"exercises, including ankle dorsiflexion-plantar flexion and cycling movements in a supine position; weight transfer exercises using an exercise ball while seated, performed 2–3 times daily with 15–30 repetitions per session; brisk walking for 30 min daily",complex decongestive therapy (CDT),,multilayer short-stretch compression bandages,"Complex Decongestive Therapy (CDT) program including manual lymphatic drainage, skin care, multilayer short-stretch compression bandages worn for 23 hours per day with 1 hour allocated for hygiene and skin inspection, proper bandage care instructions, and regular monitoring for signs of discomfort or skin complications.",,,,single-leg balance test, 30-s chair-stand test,light touch sensation, two-point discrimination (2PD),,,,,,,,,,,,,,
41557895,50-74 years,female: 51% (102/201),heavy smokers, active smoking status,"NELSON lung cancer screening trial criteria; age 50–374 years, marked smoking history (?15 cigarettes/day for ?25 years or ?10 cigarettes/day for ?30 years), active smoking status, access to a smartphone (iPhone or Android); exclusion: moderate/bad self-reported health, current/past melanoma, lung, renal, or breast cancer, chest CT within 1 year",n=200,100,100,,,physical visit and LDCT screening investigation,written material based on Finnish Current Care Guideline,smartphone app-based smoking cessation (Suunta),LDCT screening,standard smoking cessation (written material),,,HRQoL (Quality of Life Questionnaire Core 30 (QLQ-C30) and EQ-5D),smoking cessation at 1-year time,,,,,,,,,,,,,,,,
41546786,63.6 (6.6) years,male,non-metastatic clinical stage T2 or lower prostate cancer (PCa),"no contraindications to vigorous exercise, normal resting and exercise electrocardiogram (ECG), able to complete a cardiopulmonary exercise test, low-to-moderate fitness based on age-specific peak oxygen uptake (VO2peak) cut points","51 total; 26 in intervention group, 25 in control group",26,25,,Active surveillance (AS),"16-week exercise intervention (home-based walking program) with intensity varying from 45 to 80% VO2peak and session time ranging from 20 to 60 min, increasing from three days/week to four days/week by week five, monitored using Polar H10 heart rate monitor and reviewed in weekly calls with an exercise physiologist",printed materials with physical activity recommendations,,,active surveillance,,,,,,,,,,,,,,,,,,,,,
41545337,18-70 years,not provided,resectable stage IIB-IIIB (N2) non-small cell lung cancer (NSCLC),"treatment-naïve, ECOG performance status 0-1, life expectancy ?12 weeks, measurable target lesion per RECIST 1.1, adequate bone marrow and organ function, no known EGFR mutations or ALK/ROS1 fusions, no history of other malignancies within the last 5 years, no allergies or hypersensitivity reactions to study treatments, no severe or uncontrolled intercurrent illness",90,27,29,"penpulimab (200 mg intravenously on day 1 every 3 weeks), anlotinib ((initially) 12 mg orally once daily on days 1-14 every 3 weeks, with dose modifications to 10 mg or 8 mg as needed), pemetrexed (500 mg/m2), paclitaxel (175 mg/m2), carboplatin, cisplatin (75 mg/m2)",surgery,,,,,penpulimab plus chemotherapy,,"incidences of grade ?3 treatment-related adverse events (TRAEs): 23.3% (7/30), 26.7% (8/30), and 30.0% (9/30) in the penpulimab plus anlotinib and chemotherapy, penpulimab plus chemotherapy, and penpulimab plus anlotinib groups respectively; incidences of TRAEs leading to dose reduction or interruption: 9 [30.0%] in the penpulimab plus anlotinib and chemotherapy group, 8 [26.7%] in the penpulimab plus anlotinib group, and 3 [10.0%] in the penpulimab plus chemotherapy group",,major pathologic response (MPR) rate, pathological complete response rates,"median duration of follow-up was 14.0 months (95% confidence intervals [CI] 11.9–14.8), completion rates for neoadjuvant treatment",,,,,,,,,,,,,,,
