PMID,Patient age,Patient Sex,Patient condition,Patient eligibility,"Patient samplesize
 (including intevention and control group)",Intervention drug,"Intervention
drug dosage","Surgical 
Intervention","Educational
Intervention","Psychological
Intervention","Physical
Intervention","Other
Intervention",Control,"Mortality
outcome","Adverse_Event
Outcome","Life_Impact
outcome
(physical, social, cognitive and emotional 
functional outcomes, delivery of care and health status)","physiological
outcome","Nuermical values
of outcome
(p value, mean and so on)","Other 
outcome"
39570590,Women >18 y; median 64 (ropivacaine) vs 66 (placebo),Female,Advanced ovarian cancer scheduled for cytoreductive surgery,ASA 1-3; no speech/language issues; undergoing cytoreductive surgery,225 randomized; modified ITT 175 (86 vs 89),Intraperitoneal ropivacaine,0.2% during and after surgery,Cytoreductive surgery,,,,Perioperative intraperitoneal local anesthetic infusion,Intraperitoneal saline 0.9% placebo,No survival benefit reported in abstract; primary endpoint not mortality,No difference in postoperative morbidity,Short-term recovery: no difference,Time to return to intended oncologic therapy (RIOT),Mean RIOT 26.5 vs 25.8 days; mean difference 0.7 days (95% CI -2.2 to 3.4); P=0.65,"Phase III, double-blind superiority trial; negative result"
39576946,Adults with unresectable RAS/BRAF wt mCRC (age not stated in abstract),Both,First-line unresectable RAS/BRAF wild-type metastatic colorectal cancer,Unresectable RAS/BRAF wt mCRC,137 randomized (69 continuous vs 68 intermittent),FOLFIRI + panitumumab (intermittent strategy after induction),Standard FOLFIRI + panitumumab; intermittent treatment-free intervals,0,0,0,0,Intermittent treatment strategy,Continuous FOLFIRI + panitumumab until progression,Median OS 35.1 vs 36.3 months (intermittent vs continuous),Grade >2 skin panitumumab-related AEs 17.9% vs 30.3%,Reduced toxicity and more time off treatment,"12-month PFS on treatment (PFSot), ORR",Median PFSot 17.5 vs 11.2 months; 12-mo PFSot 58.5% vs 45.7%; ORR 61.2% vs 68.1%,Primary endpoint met for intermittent strategy feasibility/noncomparative design
39585696,50-75 y; mean 59.6 (SD 6.8),56.4% female,Average-risk adults overdue for colorectal cancer screening in FQHCs,"Active FQHC patients, average CRC risk, not current with USPSTF screening","4002 total (2001 intervention, 2001 control)",0,0,0,"Mailed introductory letter, FIT kit instructions, 2 reminder letters",Patient navigation after positive FIT,0,Centralized FIT outreach + navigation,Usual care,Not primary focus,Not emphasized in abstract,Improved care delivery through centralized screening outreach,CRC screening completion; colonoscopy completion after positive FIT; advanced neoplasia detection,Screening completion 30.0% vs 9.7% at 6 mo; difference 20.29 percentage points (95% CI 17.85-22.73). Colonoscopy after positive FIT 68.8% vs 44.4%,Pragmatic RCT in North Carolina FQHCs
39585879,Women newly diagnosed with breast cancer (exact age not stated in abstract),Female,Breast cancer undergoing chemotherapy,Newly diagnosed women with BC receiving chemotherapy at LASUTH/LUTH,30 total,0,0,0,BC education via mobile app,"Coping skills training, discussion forum, nurse-led consultations",0,CENBA mHealth psychoeducational programme over 6 weeks,Standard care,Not assessed,Feasibility/acceptability focus; no major safety issue highlighted,Participants reported educational and emotional support benefits,"Feasibility: consent, attrition, completion",Completion rate 93.3%,Pilot assessor-blinded parallel-group RCT; intervention feasible and acceptable
39587053,Adults with RAS wt mCRC (age not stated in abstract),Both,RAS wild-type metastatic colorectal cancer,RAS wt mCRC; post-hoc subgroup left-sided and RAS/BRAF wt examined,359 enrolled,Modified FOLFOXIRI + cetuximab,m-FOLFOXIRI plus weekly cetuximab,0,0,0,0,First-line systemic therapy,Modified FOLFOXIRI + bevacizumab,OS similar overall; post-hoc OS benefit in left-sided RAS/BRAF wt subgroup,Safety assessed; details not fully in abstract,Not stated,"Depth of response (primary), ORR, ETS, PFS, OS, R0 resection, TTG, TTF","Median DpR 57.3% vs 46.0%, p=0.0029; post-hoc PFS 15.3 vs 11.7 mo and OS 53.6 vs 40.2 mo in left-sided RAS/BRAF wt subgroup",Phase II DEEPER trial; improved tumor shrinkage without overall survival advantage in full cohort
39589370,Adults with localized muscle invasive bladder cancer,Both,Localized muscle invasive bladder cancer undergoing radical cystectomy,cT2-4a N0-2 localized MIBC; intraoperative randomization,"592 eligible randomized (292 extended, 300 standard)",0,0,Extended lymphadenectomy with radical cystectomy,0,0,0,"Removal of common iliac, presciatic, presacral nodes",Standard bilateral lymphadenectomy,Overall survival not improved,Not fully detailed in abstract snippet,Not stated,Disease-free survival (primary); recurrence/death,"At median 6.1 y follow-up, no DFS/OS benefit with extended vs standard lymphadenectomy",SWOG S1011; negative surgical trial
39590137,Adults with stage III-IV laryngeal cancer,Both,Total laryngectomy for laryngeal cancer,Undergoing total laryngectomy for stage III/IV laryngeal cancer,92 total,0,0,Total laryngectomy in both groups,Weekly swallowing therapy sessions to reinforce exercises,0,Five targeted swallowing exercises for 3 months starting 2 weeks post-surgery,Prophylactic swallowing rehabilitation,No preventive exercise; referred for swallowing treatment after surgery/radiation if needed,Not reported,Not emphasized,Improved eating in public and normalcy of diet on PSS-H&N from 3 to 12 months,Swallowing function by FOIS and PSS-H&N,"No baseline/1-week differences; significantly better scores at 3, 6, 9, 12 months for all scores, p<0.001",Randomized trial in one tertiary center
39591551,Adults with stage III-IV or recurrent endometrial cancer,Female,"Advanced or recurrent endometrial cancer, first-line treatment",Stage III-IV or recurrent radiographically apparent EC; no previous chemotherapy or progression ≥6 mo after neo/adjuvant platinum,"842 randomized (420 len+pembro, 422 chemo)",Lenvatinib + pembrolizumab,Lenvatinib 20 mg daily + pembrolizumab 200 mg q3w,0,0,0,0,First-line systemic therapy,Paclitaxel 175 mg/m2 + carboplatin AUC 6 q3w,OS not significantly improved/noninferiority not met in pMMR population,Grade ≥3 treatment-related AEs 79% vs 67%,Not stated,PFS and OS in pMMR and all-comers,pMMR median PFS 9.6 vs 10.2 mo (HR 0.99); pMMR median OS 30.9 vs 29.4 mo (HR 1.02; noninferiority P=.246),LEAP-001 did not meet prespecified statistical criteria
39592738,Adults with locally advanced/metastatic lung cancer; median cough duration 12 weeks,Both,Lung cancer with moderate/severe chronic cough,Locally advanced/metastatic lung cancer and ≥2 weeks moderate or severe cough,"166 total (83 pregabalin, 83 placebo)",Pregabalin,300 mg orally daily for 9 weeks,0,0,0,0,Symptom management neuromodulator,Matching placebo,Not primary focus,Not key finding in abstract,Symptom relief not superior to placebo,Change in cough severity VAS,VAS fell from 71.58 to 22.27 (pregabalin) vs 71.75 to 23.08 (placebo) by week 9; P=0.877,Systemic cancer-directed therapy appeared to be most effective antitussive
39599746,Women with newly diagnosed breast cancer,Female,Breast cancer during active treatment with nutritional risk/malnutrition concern,Newly diagnosed women with BC in Gaza Strip,88 total in 4 groups,Omega-3 fatty acids and/or vitamin D3,"Two daily 300 mg omega-3 capsules and/or one weekly 50,000 IU vitamin D tablet for 9 weeks",0,0,0,0,Nutritional supplementation,Control group with no supplementation,Not assessed,Not emphasized in abstract,Improved nutritional status,"PG-SGA scores, weight, BMI, albumin, dietary energy/protein intake","ω3+VitD group had significant improvement in PG-SGA risk scores (p<0.01), body weight/BMI (p<0.05), albumin, energy and protein intake (p<0.05)",Open-label 4-arm RCT
